Subject,ChooseA_ACC,ChooseB_ACC,NumOfTrainingTrials,Pre_Incongruent_SimonRT,Pre_Congruent_SimonRT,Pre_CongruencyEffect_SimonRT,Pre_Incongruent_SimonACC,Pre_Congruent_SimonACC,Pre_CongruencyEffect_SimonACC,Pre_OPScore,Pre_RSScore,Pre_RavensScore,Pre_NDCompScore,ND_Percentile,Pre_Switch_RT,Pre_Repeat_RT,Pre_SwitchEffect_RT,Pre_Switch_ACC,Pre_Repeat_ACC,Pre_SwitchEffect_ACC,Pre_Lag2_T2T1,Pre_Lag3_T2T1,Pre_ABEffect1823_T2T1,Pre_Total_3BackACC,Pre_Distractor_3BackACC,Pre_Total_3BackRT,Pre_Distractor_3BackRT,Simon_ACC
28050,99999,99999,196,773,654.77,118.23,0.93,0.98,0.04,20,15,12,18,16,1405.08,1112.61,292.47,0.91,0.87,0.04,0.57,0.52,0.35,0.66,0.45,1642.87,1916.89,0.98
28051,1,1,180,361.08,326.48,34.61,0.8,0.98,0.18,55,38,13,32,75,894.83,483.76,411.08,1,0.8,0.2,0.55,0.58,0.38,0.98,0.9,540.6,582.94,0.98
28052,0.63,0.63,60,338.88,283.8,55.08,0.53,0.98,0.44,43,47,14,34,83,1030.69,536.28,494.41,0.96,0.87,0.09,0.64,0.78,0.14,0.94,0.95,928.52,1198.11,0.98
28053,0.63,1,120,501.79,463.8,37.99,0.93,0.98,0.04,35,4,14,28,51,1506.69,882.32,624.37,0.98,0.87,0.11,0.24,0.53,0.31,0.81,0.8,1398.48,1621.56,0.98
28054,0.88,1,240,479.27,441.52,37.74,1,0.98,-0.02,49,55,12,37,99,1258.93,804.47,454.47,0.96,1,-0.04,0.74,0.57,0.29,0.8,0.55,767.53,953.82,0.98
28055,0.75,0.75,60,523.38,400.93,122.45,0.87,0.96,0.09,43,30,7,28,51,1773.5,1233.9,539.6,0.67,0.67,0,0.71,0.71,0.25,0.88,0.85,815.29,938.53,0.96
28056,0.5,0.5,60,446.18,386.36,59.83,0.73,1,0.27,50,33,12,34,83,,,,,,,0.94,0.91,-0.02,0.81,0.7,914.05,1082,1
28057,0.75,0.75,120,447.5,390.56,56.94,0.8,1,0.2,6,24,13,35,90,998.73,571.83,426.9,0.93,1,-0.07,0.68,0.57,0.28,0.85,0.75,1316.75,1329.4,1
28058,1,0.5,240,808.33,566.64,241.69,0.8,0.87,0.07,30,16,14,36,96,1005.43,847.07,158.36,0.93,0.93,0,0.68,0.56,0.06,0.73,0.7,854.17,1045.71,0.87
28059,99999,99999,247,531.2,472.78,58.42,1,1,0,62,43,12,24,35,1082.57,775.47,307.11,0.96,0.93,0.02,0.18,0.07,0.62,0.79,0.65,705.75,743.77,1
28060,0.88,1,120,466.08,424.07,42.01,0.87,1,0.13,64,70,16,36,96,1138.29,752.09,386.2,1,0.93,0.07,0.74,0.57,0.09,0.76,0.8,864.51,854.56,1
28061,0.63,0.88,360,487.21,421.56,65.66,0.93,1,0.07,29,23,10,29,57,882.79,650.24,232.55,0.93,0.93,0,0.33,0.14,0.63,0.84,0.9,969.36,1035,1
28062,0.38,0.38,120,475.07,372.89,102.19,0.93,0.98,0.04,63,57,9,30,62,942.07,742.98,199.09,0.98,1,-0.02,0.93,0.78,0.11,0.63,0.4,764.92,1158.13,0.98
28063,1,0.88,60,413.08,367.98,45.11,0.8,0.96,0.16,68,39,15,28,51,839.47,630.11,209.35,0.98,1,-0.02,0.95,0.58,0.19,0.86,0.65,710.45,843.77,0.96
28064,99999,99999,292,574.87,726.41,-151.55,1,0.91,-0.09,19,14,12,37,99,1277.62,759.09,518.52,0.96,0.87,0.09,0.31,0.22,0.4,0.73,0.75,1022.14,979.67,0.91
28065,0.75,0.88,60,374.86,337.85,37,0.93,0.91,-0.02,46,61,11,29,57,962,640.8,321.2,0.98,0.93,0.04,1,1,0,0.79,0.55,989.51,1151.55,0.91
28066,99999,99999,296,402.45,351.98,50.48,0.73,0.98,0.24,47,55,10,30,62,1199.69,737.67,462.03,0.93,0.87,0.07,0.52,0.5,0.32,0.83,0.7,1061.8,1284.07,0.98
28067,0.75,0.5,120,504.79,401.22,103.56,0.93,1,0.07,39,37,12,38,99,950.67,718.95,231.71,0.93,1,-0.07,0.71,0.82,0.19,0.8,0.7,1340.72,1635.79,1
28068,1,0.13,120,781.07,665.36,115.71,1,0.93,-0.07,62,46,13,35,90,1214.92,859.22,355.7,1,0.87,0.13,0.45,0.53,0.24,0.91,0.8,804.58,985.88,0.93
28069,1,0.88,60,503.43,420.41,83.02,0.93,0.98,0.04,32,26,17,36,96,995.62,658.69,336.93,1,0.87,0.13,0.52,0.86,0.26,0.2,0.15,991.44,1168,0.98
28070,1,0.75,360,489.36,523.23,-33.88,0.93,0.96,0.02,69,75,14,36,96,1192.83,889.83,303,0.93,0.8,0.13,0.76,0.7,0,0.89,0.8,743.76,766.06,0.96
28071,0.13,1,60,488.31,402.05,86.26,0.87,0.98,0.11,60,31,16,35,90,908.08,482.09,425.99,0.98,0.87,0.11,0.67,0.57,0.29,0.89,0.75,807.56,945.33,0.98
28072,0.38,1,60,494.93,476.48,18.46,1,0.98,-0.02,42,51,12,38,99,1493,907.45,585.55,0.93,0.93,0,0.86,0.71,0.12,0.95,0.95,859.57,932.68,0.98
28073,1,0.5,120,664.5,642.2,22.3,0.93,1,0.07,48,30,12,35,90,1296,997.98,298.02,0.98,0.93,0.04,0.91,0.83,0.09,0.83,0.65,1140.08,1526.69,1
28074,0.88,0.5,180,394.3,308.8,85.5,0.67,0.98,0.31,42,32,10,38,99,1037,554.52,482.48,0.93,0.93,0,0.9,0.85,0.02,0.79,0.65,592.83,698.54,0.98
28075,0.25,1,120,454.58,392.11,62.47,0.8,1,0.2,55,46,7,33,80,1191.8,725.19,466.61,0.93,1,-0.07,0.94,0.95,-0.09,0.81,0.85,1010.35,1100.24,1
28076,1,0.63,60,476.23,405.98,70.25,0.87,0.93,0.07,23,50,7,33,80,940.17,804.43,135.74,0.93,0.8,0.13,0.89,0.77,0.04,0.69,0.2,1025.04,1437,0.93
28077,0.63,1,360,499.92,397.36,102.57,0.87,1,0.13,24,3,7,30,62,1163.2,899.75,263.45,0.98,0.67,0.31,0.69,0.55,0.3,0.66,0.4,842.4,864.25,1
28078,0.75,0.63,180,427.08,375.59,51.49,0.87,0.98,0.11,27,26,12,29,57,1070.69,580.83,489.86,0.91,0.87,0.04,0.96,0.75,0.07,0.88,0.95,660.96,832,0.98
28079,0.88,0.75,60,476.8,420.19,56.61,1,0.96,-0.04,37,45,15,38,99,1001.55,649.13,352.41,1,0.73,0.27,0.77,0.77,0.05,0.89,0.8,621.42,709.81,0.96
