Subject	ChooseA_ACC	ChooseB_ACC	NumTrainingTrials	Pre_Incongruent_SimonRT	Pre_Congruent_SimonRT	Pre_CongruencyEffect_SimonRT	Pre_Incongruent_SimonACC	Pre_Congruent_SimonACC	Pre_CongruencyEffect_SimonACC	Pre_OPScore	Pre_RSScore	Pre_RavensScore	Pre_NDCompScore	ND_Percentile	Pre_Switch_RT	Pre_Repeat_RT	Pre_SwitchEffect_RT	Pre_Switch_ACC	Pre_Repeat_ACC	Pre_SwitchEffect_ACC	Pre_Lag2_T2T1	Pre_Lag3_T2T1	Pre_ABEffect1823_T2T1	Pre_Total_3BackACC	Pre_Distractor_3BackACC	Pre_Total_3BackRT	Pre_Distractor_3BackRT	Simon_ACC
28044	0.7500	0.8125	180	379.4000	292.3409	87.0591	.6667	.9778	.3111	23	35	11	29	57.00	1011.0714	497.1364	513.9351	.9778	.9333	.0444	.5294	.4737	.3761	.8875	.8000	647.6620	828.4375	.98
28045	0.5625	0.5625	120	501.6923	371.3864	130.3059	.8667	.9778	.1111	39	32	10	34	83.00	938.4615	598.5000	339.9615	.9778	.8667	.1111	.8571	1.0000	.0420	.5625	.6000	903.9556	1031.5000	.98
28047	-0.3750	0.0000	205	524.1429	457.4545	66.6883	.9333	.9778	.0444	15	14	8	21	25.00	1770.4167	886.3095	884.1071	.9333	.8000	.1333	.6471	.4737	.2578	.6625	.1000	763.0377	877.0000	.98
28048	1.0000	1.0000	60	407.1429	351.2222	55.9206	.9333	1.0000	.0667	75	41	11	38	99.00	851.5714	536.3556	315.2159	1.0000	.9333	.0667	.8500	.9167	.0889	.9500	1.0000	1312.8947	1666.4000	1.00
28049	0.8125	0.9375	60	492.9286	426.9767	65.9518	.9333	.9556	.0222	46	47	8	30	62.00	1046.4667	801.4048	245.0619	.9333	1.0000	-.0667	.6000	.7500	.1462	.6250	.4500	1118.0800	1127.3333	.96
28050	-0.3750	0.0000	196	773.0000	654.7727	118.2273	.9333	.9778	.0444	20	15	12	18	16.00	1405.0769	1112.6098	292.4672	.9111	.8667	.0444	.5714	.5217	.3525	.6625	.4500	1642.8679	1916.8889	.98
28051	1.0000	1.0000	180	361.0833	326.4773	34.6061	.8000	.9778	.1778	55	38	13	32	75.00	894.8333	483.7556	411.0778	1.0000	.8000	.2000	.5500	.5789	.3781	.9750	.9000	540.6026	582.9444	.98
28052	0.6250	0.5625	60	338.8750	283.7955	55.0795	.5333	.9778	.4444	43	47	14	34	83.00	1030.6923	536.2791	494.4132	.9556	.8667	.0889	.6364	.7826	.1405	.9375	.9500	928.5200	1198.1053	.98
28053	0.7500	0.9375	120	501.7857	463.7955	37.9903	.9333	.9778	.0444	35	4	14	28	51.00	1506.6923	882.3182	624.3741	.9778	.8667	.1111	.2353	.5263	.3085	.8125	.8000	1398.4769	1621.5625	.98
28054	0.8125	0.8750	240	479.2667	441.5227	37.7439	1.0000	.9778	-.0222	49	55	12	37	99.00	1258.9333	804.4651	454.4682	.9556	1.0000	-.0444	.7368	.5714	.2908	.8000	.5500	767.5313	953.8182	.98
28055	0.8125	0.7500	60	523.3846	400.9302	122.4544	.8667	.9556	.0889	43	30	7	28	51.00	1773.5000	1233.9000	539.6000	.6667	.6667	.0000	.7083	.7143	.2452	.8750	.8500	815.2857	938.5294	.96
28056	0.3125	0.7500	60	446.1818	386.3556	59.8263	.7333	1.0000	.2667	50	33	12	34	83.00							.9444	.9130	-.0157	.8125	.7000	914.0462	1082.0000	1.00
28057	0.6875	0.7500	120	447.5000	390.5556	56.9444	.8000	1.0000	.2000	6	24	13	35	90.00	998.7333	571.8333	426.9000	.9333	1.0000	-.0667	.6842	.5652	.2771	.8500	.7500	1316.7500	1329.4000	1.00
28058	0.8750	0.6250	240	808.3333	566.6410	241.6923	.8000	.8667	.0667	30	16	14	36	96.00	1005.4286	847.0714	158.3571	.9333	.9333	.0000	.6842	.5556	.0556	.7250	.7000	854.1724	1045.7143	.87
28059	-0.3750	0.0000	247	531.2000	472.7778	58.4222	1.0000	1.0000	.0000	62	43	12	24	35.00	1082.5714	775.4651	307.1063	.9556	.9333	.0222	.1765	.0667	.6209	.7875	.6500	705.7460	743.7692	1.00
28060	0.8125	1.0000	120	466.0769	424.0667	42.0103	.8667	1.0000	.1333	64	70	16	36	96.00	1138.2857	752.0889	386.1968	1.0000	.9333	.0667	.7391	.5652	.0895	.7625	.8000	864.5082	854.5625	1.00
28061	0.6875	0.7500	360	487.2143	421.5556	65.6587	.9333	1.0000	.0667	29	23	10	29	57.00	882.7857	650.2381	232.5476	.9333	.9333	.0000	.3333	.1429	.6286	.8375	.9000	969.3582	1035.0000	1.00
